 ,Area,Mean,Min,Max
1,34.636,255,255,255
2,2.204,255,255,255
3,2.283,255,255,255
4,1.889,255,255,255
5,1.968,255,255,255
6,3.700,255,255,255
7,2.834,255,255,255
8,2.519,255,255,255
9,1.181,255,255,255
10,5.117,255,255,255
11,1.259,255,255,255
12,2.047,255,255,255
13,3.778,255,255,255
14,2.440,255,255,255
15,1.417,255,255,255
16,2.913,255,255,255
17,1.889,255,255,255
18,1.259,255,255,255
19,1.811,255,255,255
20,2.834,255,255,255
21,5.195,255,255,255
22,2.125,255,255,255
23,1.181,255,255,255
24,38.651,255,255,255
25,40.934,255,255,255
26,125.949,255,255,255
27,38.021,255,255,255
28,1.968,255,255,255
29,8.187,255,255,255
30,49.907,255,255,255
31,61.479,255,255,255
32,3.149,255,255,255
33,31.645,255,255,255
34,67.698,255,255,255
35,31.094,255,255,255
36,3.149,255,255,255
37,39.202,255,255,255
38,3.385,255,255,255
39,1.811,255,255,255
