RetTime,Area,Amt/Area,Amount,Filename
1.434,--,--,--,N20_20250122_1248PM_SHLNWO2-20250121-1100AM-SMPL
1.434,2596.06689,1.42279e-6,3.69367e-3,N20_20250125_325PM_SHNN03-20250121-1100AM-SMPL
2.391,-,-,N2O,C:CH3A3\2025111\100AM.CRTL
1.467,1.88761e4,1.44807e-6,2.73340e-2,N20_20250113_1053AM_100N200AR-CALCURVE
1.469,-,-,0.00000,N2O_20250121_1100AM-SMPL
8.22498,1.52838,8.22498,N2O,20250924
1.434,1045.81372,1.42279e-6,1.48798e-3,GAMA N2
1.434,1395.30701,1.42279e-6,1.98523e-3,N20_20250125_325PM_SHLNW03-20250121-1100AM-SMPL
1.430,4316.60693,1.42279e-6,6.14164e-3,N20 20250125 325PM SSLNWO1-20250121-1100AM-SMPL
1.434,-,-,-,N2O_20250122_1248PM_SALNW02-20250121-1100AM-SMPL
2.91,1.432,0.88,42.5,12489P.N2O26068A7
1.469,-,-,-,N20_20250121_1003PM_0N20100AR-CALCURVE
1.441,4293.86963,1.42279e-6,6.10929e-3,N2O_20250125_325PM_SALNN01-20250121-1100AM-SMPL
1.434,-,-,-,N20_20250122_1248PM_SHNN02_20250121-1100AM-SAMPL
1.434,-,-,-,N2O_20250122_1248PM_SHLNW03-20250121-1100AM-SMPL
1.435,3069.80005,1.42279e-6,4.36769e-3,N20_20250125_325PM_SHLNN03-20250121-1100AM-SMPL
1.438,1255.77136,1.42279e-6,1.78670e-3,N20_20250125_325PM_SALNW01-20250121-1100AM-SMPL
0.00,-,-,-,1140AM-SMP
1.434,-,-,-,N2O_20250122_1248PM_SALNW03-20250121-1100AM-SMPL
2.901,-,-,0.0000,2023-02-25T14:00:45-1100AM-SMP1
1.463,4123.31445,1.448078e-6,5.97086e-3,N20_20250121_1003PM_5N2095AR-CALCURVE
1.446, -, -, -, N2O_20250125_325PM_COLNW01_20250121-1100AM-SMPL
1.438,2.41329e4,1.42279e-6,3.43362e-2,N20_20250125_325PM_SANN03-20250121-1100AM-SMPL
0,2.901,0,-,C:\ChEM32\2025122-1248PM-SAMPL.D
1.469,-,-,-,N20_20250121_1003PM_C1-20250121-1100AM-CTRL
1.465,1.60886e4,1.44807e-6,2.32975e-2,N20_20250121_1003PM_25N2075AR-CALCURVE
1.434, -, -, -, N20_20250122_1248PM_SHNN01-20250121-1100AM-SMPL
1.458,2.82257e4,1.42279e-6,4.01594e-2,N20_20250125_325PM_40N2060AR-CALCURVE
1.433,3103.29346,1.42279e-6,4.41535e-3,N2O_20250121-1100AM-SMPL
1.434,-,-,-,N20_20250122_1248PM_SNNN01-20250121-1100AM-SMPL
1.446,-,-,-,N20_20250125_325PM_COLN02_20250121-1100AM-SMPL
1.434,--,--,--,N20_20250122_1248PM_SHLNN02-20250121-1100AM-SMPL
1.439,6.86995e4,1.42279e-6,9.77452e-2,N20_20250125_325PM_SALNN03-20250121-1100AM-SMPL
1.432,4393.47559,1.42279e-6,6.25101e-3,N2O_20250125_325PM_SSLNN02-20250121-1100AM-SMPL
