Summary,,,,,,,
,,,,,,,
Sequence Details,,,,,,,
Name:,,Exp2-D44-Anions-20250813-reviewed,,,Created On:,23-Jun-21 12:28:18,
Directory:,,Gama\Mesocosm,,,Created By:,Thermo Fisher Scient,
Data Vault:,,ChromeleonLocal,,,Updated On:,14-Aug-25 10:40:59,
No. of Injections:,,36,,,Updated By:,Thermo Fisher Scient,
,,,,,,,
By Component,,Acetate,,,,,
,,,,,,,
No. ,Injection Name,Ret.Time,Area,Height,Amount,Rel.Area ,Peak Type 
,,min,µS*min,µS,mM,%,
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Acetate,Acetate,Acetate,Acetate,Acetate,Acetate
1,Exp2-D44_20250813-1630H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,Exp2-D44_20250813-1630H_STD-NO3005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3,Exp2-D44_20250813-1630H_STD-NO3020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4,Exp2-D44_20250813-1630H_STD-NO3050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
5,Exp2-D44_20250813-1630H_STD-NO3200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
6,Exp2-D44_20250813-1630H_STD-NO3500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
7,Exp2-D44_20250813-1630H_STD-NO2005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8,Exp2-D44_20250813-1630H_STD-NO2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
9,Exp2-D44_20250813-1630H_STD-NO2050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10,Exp2-D44_20250813-1630H_STD-NO2200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
11,Exp2-D44_20250813-1630H_STD-NO2500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
12,Exp2-D44_20250813-1630H_STD-OAC005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
13,Exp2-D44_20250813-1630H_STD-OAC020,4.200,0.530,0.582,17.188,100.00,BMB
14,Exp2-D44_20250813-1630H_STD-OAC050,4.193,1.014,1.406,51.385,100.00, M 
15,Exp2-D44_20250813-1630H_STD-OAC200,4.237,3.153,4.232,202.421,100.00, M 
16,Exp2-D44_20250813-1630H_STD-OAC500,4.303,7.353,10.624,499.006,100.00, M 
17,Exp2-D44_20250813-1630H_STD-SO4050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
18,Exp2-D44_20250813-1630H_STD-SO4200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
19,Exp2-D44_20250813-1630H_STD-SO4500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
20,Exp2-D44_20250813-1630H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
21,Exp2-D44_20250813-1630H_SA1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
22,Exp2-D44_20250813-1630H_SH1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
23,Exp2-D44_20250813-1630H_SS1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
24,Exp2-D44_20250813-1630H_CO1,4.010,0.321,1.285,2.466,0.21, M 
25,Exp2-D44_20250813-1630H_CL1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
26,Exp2-D44_20250813-1630H_SA2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
27,Exp2-D44_20250813-1630H_SH2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
28,Exp2-D44_20250813-1630H_SS2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
29,Exp2-D44_20250813-1630H_CO2,4.017,0.335,1.326,3.409,0.24, M 
30,Exp2-D44_20250813-1630H_CL2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
31,Exp2-D44_20250813-1630H_SA3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
32,Exp2-D44_20250813-1630H_SH3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
33,Exp2-D44_20250813-1630H_SS3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
34,Exp2-D44_20250813-1630H_CO3,4.010,0.314,1.246,1.940,0.22, M 
35,Exp2-D44_20250813-1630H_CL3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
36,Exp2-D37_20250806-1630H_SH1_PT,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
