Summary,,,,,,,
,,,,,,,
Sequence Details,,,,,,,
Name:,,Exp2-D50-Anions-20250819,,,Created On:,23-Jun-21 12:28:18,
Directory:,,Gama\Mesocosm,,,Created By:,Thermo Fisher Scient,
Data Vault:,,ChromeleonLocal,,,Updated On:,17-Sep-25 17:42:33,
No. of Injections:,,110,,,Updated By:,Thermo Fisher Scient,
,,,,,,,
By Component,,Sulfate,,,,,
,,,,,,,
No. ,Injection Name,Ret.Time,Area,Height,Amount,Rel.Area ,Peak Type 
,,min,µS*min,µS,mM,%,
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Sulfate,Sulfate,Sulfate,Sulfate,Sulfate,Sulfate
1,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2,Exp2-D50_20250916-1230H_STD-NO3005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
3,Exp2-D50_20250916-1230H_STD-NO3020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
4,Exp2-D50_20250916-1230H_STD-NO3050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
5,Exp2-D50_20250916-1230H_STD-NO3200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
6,Exp2-D50_20250916-1230H_STD-NO3500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
7,Exp2-D50_20250916-1230H_STD-NO2005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
8,Exp2-D50_20250916-1230H_STD-NO2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
9,Exp2-D50_20250916-1230H_STD-NO2050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
10,Exp2-D50_20250916-1230H_STD-NO2200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
11,Exp2-D50_20250916-1230H_STD-NO2500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
12,Exp2-D50_20250916-1230H_STD-OAC005,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
13,Exp2-D50_20250916-1230H_STD-OAC020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
14,Exp2-D50_20250916-1230H_STD-OAC050,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
15,Exp2-D50_20250916-1230H_STD-OAC200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
16,Exp2-D50_20250916-1230H_STD-OAC500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
17,Exp2-D50_20250916-1230H_STD-SO4050,9.060,13.183,42.750,64.510,100.00, M 
18,Exp2-D50_20250916-1230H_STD-SO4200,9.080,27.708,78.970,178.234,100.00, M 
19,Exp2-D50_20250916-1230H_STD-SO4500,9.147,69.732,156.856,507.255,100.00, M 
20,Exp2-D50_20250916-1230H_STD-HCOO1000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
21,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
22,Exp2-D50_20250916-1230H_SA1,9.120,11.846,41.221,54.043,11.19,BMB
23,Exp2-D50_20250916-1230H_SH1,9.170,27.290,92.033,174.961,22.76,BMB
24,Exp2-D50_20250916-1230H_SS1,9.133,16.984,59.737,94.274,15.21,BMB
25,Exp2-D50_20250916-1230H_CO1,9.137,22.909,76.160,140.663,18.97, MB
26,Exp2-D50_20250916-1230H_CL1,9.120,10.278,36.023,41.770,9.98, MB
27,Exp2-D50_20250916-1230H_SA2,9.110,11.024,38.851,47.612,10.80, MB
28,Exp2-D50_20250916-1230H_SH2,9.163,28.581,95.183,185.067,23.53,BMB
29,Exp2-D50_20250916-1230H_SS2,9.147,16.724,58.541,92.234,15.21,BMB
30,Exp2-D50_20250916-1230H_CO2,9.133,21.962,73.433,133.245,18.37, MB
31,Exp2-D50_20250916-1230H_CL2,9.117,10.232,35.826,41.413,9.91, MB
32,Exp2-D50_20250916-1230H_SA3,9.110,11.369,39.404,50.315,11.06,BMB
33,Exp2-D50_20250916-1230H_SH3,9.160,27.685,92.406,178.052,22.84,BMB
34,Exp2-D50_20250916-1230H_SS3,9.143,16.511,57.744,90.570,15.04,BMB
35,Exp2-D50_20250916-1230H_CO3,9.130,22.347,74.371,136.263,18.57, MB
36,Exp2-D50_20250916-1230H_CL3,9.120,10.362,36.211,42.424,10.00, MB
37,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
38,Exp2-D46_20250916-1230H_SH2_PT,9.200,32.911,108.614,218.971,24.61,BMB
39,Exp2-D46_20250916-1230H_SH3_PT,9.187,32.180,106.278,213.249,24.42,BMB
40,Exp2-D46_20250916-1230H_SS1_PT,9.170,20.688,71.853,123.271,17.57,BMB
41,Exp2-D46_20250916-1230H_SS2_PT,9.183,20.865,72.573,124.655,17.75,BMB
42,Exp2-D46_20250916-1230H_SS3_PT,9.173,20.516,71.415,121.923,17.01,BMB
43,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
44,PW-A100_20250916,8.997,0.519,2.155,n.a.,0.56,BMB*
45,PW-D100_20250916,8.997,0.404,1.311,n.a.,0.34,BMB
46,PW-F100_20250916,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
47,PW-A10_20250916,9.063,5.832,22.965,6.964,0.59,BMB*
48,PW-D10_20250916,9.060,2.937,11.506,n.a.,0.23,BMB*
49,PW-F10_20250916,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
50,Exp2-D50_20250916-1230H_STD-BLANK,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
51,Exp2-D56_20250916-1230H_SA1,9.090,9.718,33.754,37.385,10.56, MB
52,Exp2-D56_20250916-1230H_SH1,9.060,8.945,30.588,31.336,18.26,BMB
53,Exp2-D56_20250916-1230H_SS1,9.120,13.546,47.341,67.360,13.86,BMB
54,Exp2-D56_20250916-1230H_CO1,9.120,18.620,61.913,107.078,16.74,BMB
55,Exp2-D56_20250916-1230H_CL1,9.093,8.775,30.360,30.003,9.51, MB
56,Exp2-D56_20250916-1230H_SA2,9.037,4.789,16.246,n.a.,9.33, MB
57,Exp2-D56_20250916-1230H_SH2,9.040,6.930,23.748,15.557,17.81,BMB
58,Exp2-D56_20250916-1230H_SS2,9.110,13.405,46.778,66.254,14.62,BMB
59,Exp2-D56_20250916-1230H_CO2,9.070,11.801,39.958,53.697,18.18,BMB
60,Exp2-D56_20250916-1230H_CL2,9.100,8.666,29.907,29.148,9.42, MB
61,Exp2-D56_20250916-1230H_SA3,9.033,4.699,15.887,n.a.,11.48, MB
62,Exp2-D56_20250916-1230H_SH3,9.067,9.717,33.374,37.379,19.65,BMB
63,Exp2-D56_20250916-1230H_SS3,9.110,13.123,45.928,64.044,13.60,BMB
64,Exp2-D56_20250916-1230H_CO3,9.113,17.904,59.586,101.474,16.63,BMB
65,Exp2-D56_20250916-1230H_CL3,9.033,3.073,13.040,n.a.,8.35,BMB*
66,Exp2-D65_20250916-1230H_SA1,9.103,11.272,39.500,49.552,10.52,BMB
67,Exp2-D65_20250916-1230H_SH1,9.157,23.491,79.798,145.215,19.99,BMB
68,Exp2-D65_20250916-1230H_SS1,9.123,14.429,51.048,74.271,13.09,BMB
69,Exp2-D65_20250916-1230H_CO1,9.120,18.383,61.920,105.227,15.56,BMB
70,Exp2-D65_20250916-1230H_CL1,9.110,10.094,35.787,40.325,9.34, MB
71,Exp2-D65_20250916-1230H_SA2,9.103,10.803,38.330,45.882,10.09, MB
72,Exp2-D65_20250916-1230H_SH2,9.147,22.197,75.852,135.090,18.96,BMB
73,Exp2-D65_20250916-1230H_SS2,9.123,14.532,51.456,75.078,13.22,BMB
74,Exp2-D65_20250916-1230H_CO2,9.113,18.019,60.709,102.375,15.18,BMB
75,Exp2-D65_20250916-1230H_CL2,9.100,9.948,35.211,39.188,9.19, MB
76,Exp2-D65_20250916-1230H_SA3,9.100,11.080,39.307,48.046,10.30, MB
77,Exp2-D65_20250916-1230H_SH3,9.157,23.787,79.707,147.538,20.14,BMB
78,Exp2-D65_20250916-1230H_SS3,9.120,14.461,51.111,74.516,13.11,BMB
79,Exp2-D65_20250916-1230H_CO3,9.110,18.255,61.293,104.224,15.31,BMB
80,Exp2-D65_20250916-1230H_CL3,9.097,9.958,35.305,39.266,9.20, MB
81,Exp2-D73_20250916-1230H_SA1,9.107,11.531,40.728,51.578,10.77,BMB
82,Exp2-D73_20250916-1230H_SH1,9.160,25.094,84.678,157.768,21.05,BMB
83,Exp2-D73_20250916-1230H_SS1,9.120,14.610,51.565,75.683,13.25,BMB
84,Exp2-D73_20250916-1230H_CO1,9.110,18.447,62.055,105.727,15.59,BMB
85,Exp2-D73_20250916-1230H_CL1,9.097,10.108,35.761,40.440,9.38, MB
86,Exp2-D73_20250916-1230H_SA2,9.093,11.077,39.062,48.024,10.40,BMB
87,Exp2-D73_20250916-1230H_SH2,9.150,23.888,81.065,148.330,20.26,BMB
88,Exp2-D73_20250916-1230H_SS2,9.113,14.772,52.103,76.953,13.36,BMB
89,Exp2-D73_20250916-1230H_CO2,9.110,18.103,60.854,103.031,15.22,BMB
90,Exp2-D73_20250916-1230H_CL2,9.093,10.144,35.140,40.720,9.39, MB
91,Exp2-D73_20250916-1230H_SA3,9.087,11.498,40.458,51.325,10.73,BMB
92,Exp2-D73_20250916-1230H_SH3,9.140,24.595,83.112,153.864,20.69,BMB
93,Exp2-D73_20250916-1230H_SS3,9.110,14.801,52.215,77.180,13.44,BMB
94,Exp2-D73_20250916-1230H_CO3,9.087,18.159,61.116,103.470,15.28,BMB
95,Exp2-D73_20250916-1230H_CL3,9.090,10.015,35.404,39.711,9.27, MB
96,Exp2-D78_20250916-1230H_SA1,9.093,12.056,41.749,55.689,11.23,BMB
97,Exp2-D78_20250916-1230H_SH1,9.150,25.488,85.222,160.855,21.33,BMB
98,Exp2-D78_20250916-1230H_SS1,9.110,14.727,51.405,76.603,13.47,BMB
99,Exp2-D78_20250916-1230H_CO1,9.100,18.662,61.815,107.413,15.85,BMB
100,Exp2-D78_20250916-1230H_CL1,9.087,10.417,36.128,42.861,9.58, MB
101,Exp2-D78_20250916-1230H_SA2,9.090,11.356,39.168,50.209,10.59,BMB
102,Exp2-D78_20250916-1230H_SH2,9.133,24.493,82.237,153.064,20.66,BMB
103,Exp2-D78_20250916-1230H_SS2,9.107,14.825,51.687,77.372,13.47,BMB
104,Exp2-D78_20250916-1230H_CO2,9.100,18.210,60.775,103.870,15.29,BMB
105,Exp2-D78_20250916-1230H_CL2,9.070,10.088,35.046,40.281,9.31, MB
106,Exp2-D78_20250916-1230H_SA3,9.083,11.655,40.190,52.554,10.85,BMB
107,Exp2-D78_20250916-1230H_SH3,9.140,25.009,83.552,157.103,21.04,BMB
108,Exp2-D78_20250916-1230H_SS3,9.100,14.828,51.592,77.391,13.42,BMB
109,Exp2-D78_20250916-1230H_CO3,9.097,18.424,61.133,105.550,15.54,BMB
110,Exp2-D78_20250916-1230H_CL3,9.083,10.231,35.466,41.398,9.44, MB
