 ,Area,Mean,Min,Max
1,218.286,255,255,255
2,27.237,255,255,255
3,15.744,255,255,255
4,1.968,255,255,255
5,18.814,255,255,255
6,18.892,255,255,255
7,8.580,255,255,255
8,12.280,255,255,255
9,85.488,255,255,255
10,20.388,255,255,255
11,21.805,255,255,255
12,24.875,255,255,255
13,24.481,255,255,255
14,5.432,255,255,255
15,1.732,255,255,255
16,1.259,255,255,255
17,2.755,255,255,255
18,1.181,255,255,255
19,1.417,255,255,255
20,6.848,255,255,255
21,31.802,255,255,255
22,2.834,255,255,255
23,12.123,255,255,255
24,2.440,255,255,255
25,22.435,255,255,255
26,67.147,255,255,255
27,38.493,255,255,255
28,26.686,255,255,255
29,2.991,255,255,255
30,1.338,255,255,255
31,27.237,255,255,255
32,18.814,255,255,255
33,9.367,255,255,255
34,7.006,255,255,255
35,34.164,255,255,255
36,8.895,255,255,255
37,44.633,255,255,255
38,75.884,255,255,255
39,54.945,255,255,255
40,1.259,255,255,255
41,18.735,255,255,255
42,3.385,255,255,255
43,28.968,255,255,255
44,54.079,255,255,255
45,28.102,255,255,255
46,2.598,255,255,255
47,11.886,255,255,255
48,2.991,255,255,255
49,38.729,255,255,255
50,18.184,255,255,255
51,18.499,255,255,255
52,19.286,255,255,255
53,11.493,255,255,255
54,11.808,255,255,255
55,1.732,255,255,255
56,15.822,255,255,255
57,10.076,255,255,255
58,54.631,255,255,255
59,22.750,255,255,255
60,31.960,255,255,255
61,21.726,255,255,255
62,22.750,255,255,255
63,2.913,255,255,255
64,9.761,255,255,255
65,25.269,255,255,255
66,1.811,255,255,255
67,2.362,255,255,255
68,16.610,255,255,255
69,4.172,255,255,255
70,4.881,255,255,255
71,15.193,255,255,255
72,34.479,255,255,255
73,4.487,255,255,255
74,11.021,255,255,255
75,16.531,255,255,255
76,37.234,255,255,255
77,8.580,255,255,255
78,5.668,255,255,255
79,26.922,255,255,255
80,7.321,255,255,255
81,1.181,255,255,255
