 ,Area,Mean,Min,Max
1,1.417,255,255,255
2,3.149,255,255,255
3,1.181,255,255,255
4,2.283,255,255,255
5,6.219,255,255,255
6,1.338,255,255,255
7,2.834,255,255,255
8,1.574,255,255,255
9,1.496,255,255,255
10,1.102,255,255,255
11,1.811,255,255,255
12,3.306,255,255,255
13,3.464,255,255,255
14,1.653,255,255,255
15,1.653,255,255,255
16,1.574,255,255,255
17,2.834,255,255,255
18,1.496,255,255,255
19,1.968,255,255,255
20,1.102,255,255,255
21,2.755,255,255,255
22,1.968,255,255,255
23,2.598,255,255,255
24,1.181,255,255,255
25,1.811,255,255,255
26,12.595,255,255,255
27,2.755,255,255,255
28,1.968,255,255,255
29,2.125,255,255,255
30,1.811,255,255,255
31,1.889,255,255,255
32,1.732,255,255,255
33,2.519,255,255,255
