 ,Area,Mean,Min,Max
1,1.968,255,255,255
2,2.125,255,255,255
3,3.464,255,255,255
4,2.755,255,255,255
5,2.204,255,255,255
6,1.653,255,255,255
7,5.825,255,255,255
8,2.204,255,255,255
9,1.181,255,255,255
10,2.204,255,255,255
11,2.755,255,255,255
12,1.102,255,255,255
13,1.181,255,255,255
14,5.983,255,255,255
15,5.746,255,255,255
16,2.204,255,255,255
17,1.181,255,255,255
18,2.755,255,255,255
19,7.006,255,255,255
20,8.187,255,255,255
21,3.070,255,255,255
22,6.376,255,255,255
23,1.496,255,255,255
24,1.732,255,255,255
25,2.204,255,255,255
26,1.653,255,255,255
27,2.440,255,255,255
28,4.644,255,255,255
29,1.417,255,255,255
30,2.047,255,255,255
31,2.125,255,255,255
32,8.029,255,255,255
33,1.417,255,255,255
34,2.047,255,255,255
35,4.093,255,255,255
36,3.070,255,255,255
37,1.968,255,255,255
38,1.181,255,255,255
39,1.889,255,255,255
40,1.653,255,255,255
41,5.983,255,255,255
42,2.283,255,255,255
43,2.834,255,255,255
44,3.542,255,255,255
45,6.770,255,255,255
46,4.644,255,255,255
47,4.015,255,255,255
48,1.496,255,255,255
49,3.857,255,255,255
50,8.659,255,255,255
