 ,Area,Mean,Min,Max
1,2.047,255,255,255
2,18.184,255,255,255
3,1.968,255,255,255
4,2.362,255,255,255
5,1.496,255,255,255
6,1.259,255,255,255
7,1.181,255,255,255
8,3.385,255,255,255
9,2.440,255,255,255
10,1.732,255,255,255
11,1.102,255,255,255
12,3.149,255,255,255
13,1.102,255,255,255
14,1.181,255,255,255
15,3.149,255,255,255
16,3.857,255,255,255
17,2.598,255,255,255
18,1.732,255,255,255
19,4.959,255,255,255
20,3.936,255,255,255
21,1.968,255,255,255
22,3.700,255,255,255
23,2.440,255,255,255
24,3.464,255,255,255
25,1.417,255,255,255
26,2.362,255,255,255
27,1.496,255,255,255
28,1.181,255,255,255
29,10.470,255,255,255
30,4.881,255,255,255
31,1.181,255,255,255
32,40.461,255,255,255
33,1.574,255,255,255
34,93.754,255,255,255
35,1.181,255,255,255
36,25.190,255,255,255
37,36.840,255,255,255
38,4.251,255,255,255
39,2.362,255,255,255
40,24.639,255,255,255
41,1.732,255,255,255
42,1.496,255,255,255
43,1.811,255,255,255
44,17.318,255,255,255
45,1.653,255,255,255
46,2.362,255,255,255
47,3.936,255,255,255
48,1.417,255,255,255
49,2.834,255,255,255
50,2.362,255,255,255
51,30.070,255,255,255
52,2.991,255,255,255
53,1.496,255,255,255
