 ,Area,Mean,Min,Max
1,6.534,255,255,255
2,30.858,255,255,255
3,33.377,255,255,255
4,10.312,255,255,255
5,9.446,255,255,255
6,19.522,255,255,255
7,22.592,255,255,255
8,12.831,255,255,255
9,4.959,255,255,255
10,16.059,255,255,255
11,11.729,255,255,255
12,1.496,255,255,255
13,5.117,255,255,255
14,1.968,255,255,255
15,20.782,255,255,255
16,1.811,255,255,255
17,11.808,255,255,255
18,10.391,255,255,255
19,1.496,255,255,255
20,7.478,255,255,255
21,34.557,255,255,255
22,13.697,255,255,255
23,2.204,255,255,255
