 ,Area,Mean,Min,Max
1,2.204,255,255,255
2,7.321,255,255,255
3,8.738,255,255,255
4,2.676,255,255,255
5,7.636,255,255,255
6,6.848,255,255,255
7,1.259,255,255,255
8,2.362,255,255,255
9,3.700,255,255,255
10,4.723,255,255,255
11,3.227,255,255,255
12,3.936,255,255,255
13,3.070,255,255,255
14,4.487,255,255,255
15,2.834,255,255,255
16,1.259,255,255,255
17,4.487,255,255,255
18,12.595,255,255,255
19,4.959,255,255,255
20,1.889,255,255,255
21,4.093,255,255,255
22,5.904,255,255,255
23,8.344,255,255,255
24,2.125,255,255,255
25,5.589,255,255,255
26,2.519,255,255,255
27,5.353,255,255,255
28,1.811,255,255,255
29,1.889,255,255,255
30,2.283,255,255,255
31,5.510,255,255,255
32,1.181,255,255,255
33,2.125,255,255,255
34,7.478,255,255,255
35,3.385,255,255,255
36,8.265,255,255,255
37,1.811,255,255,255
38,2.991,255,255,255
39,3.857,255,255,255
40,2.519,255,255,255
41,1.889,255,255,255
42,1.574,255,255,255
43,4.172,255,255,255
44,3.621,255,255,255
45,1.811,255,255,255
46,3.149,255,255,255
47,1.496,255,255,255
48,2.991,255,255,255
49,9.210,255,255,255
50,1.574,255,255,255
51,3.385,255,255,255
52,5.353,255,255,255
53,1.811,255,255,255
54,2.283,255,255,255
55,1.811,255,255,255
56,5.117,255,255,255
57,5.038,255,255,255
58,4.881,255,255,255
59,35.502,255,255,255
60,1.968,255,255,255
61,1.574,255,255,255
62,3.464,255,255,255
63,3.621,255,255,255
64,1.417,255,255,255
65,1.968,255,255,255
66,4.881,255,255,255
67,1.889,255,255,255
68,3.385,255,255,255
69,2.598,255,255,255
70,6.061,255,255,255
71,1.889,255,255,255
72,9.289,255,255,255
73,1.889,255,255,255
74,3.857,255,255,255
75,19.443,255,255,255
76,6.534,255,255,255
77,2.047,255,255,255
78,3.936,255,255,255
79,3.700,255,255,255
80,1.811,255,255,255
81,2.440,255,255,255
82,1.968,255,255,255
83,3.149,255,255,255
84,6.927,255,255,255
85,4.644,255,255,255
86,2.834,255,255,255
87,2.834,255,255,255
88,2.991,255,255,255
