 ,Area,Mean,Min,Max
1,2.834,255,255,255
2,4.723,255,255,255
3,1.338,255,255,255
4,1.181,255,255,255
5,1.102,255,255,255
6,1.889,255,255,255
7,3.306,255,255,255
8,1.653,255,255,255
9,1.574,255,255,255
10,4.566,255,255,255
11,1.653,255,255,255
12,1.968,255,255,255
13,1.496,255,255,255
14,1.732,255,255,255
15,1.259,255,255,255
16,2.519,255,255,255
17,4.172,255,255,255
18,2.598,255,255,255
19,1.811,255,255,255
20,3.621,255,255,255
21,2.283,255,255,255
22,1.259,255,255,255
23,1.968,255,255,255
24,2.676,255,255,255
25,3.070,255,255,255
26,4.251,255,255,255
27,60.692,255,255,255
