RetTime,Area,Amt/Area,Amount,Filename,ImageName
1.438,67126.9,0.00000148889,0.0999446,N2O_20250123_1045AM_100N200AR-CALCURVE,20250123_180624584_iOS
1.437,26805.2,0.00000148889,0.0399101,N2O_20250123_1045AM_40N2060AR-CALCURVE,20250123_181125964_iOS
1.435,15717.2,0.00000148889,0.0234011,N2O_20250123_1045AM_25N2075AR-CALCURVE,20250123_181509512_iOS
1.434,5508.7085,0.00000148889,0.00820187,N20_20250123_1045AM_10N2O90AR-CALCURVE,20250123_181820948_iOS
1.434,3929.55737,0.00148889,0.00585068,N20_20250123_1045AM_5N2095AR-CALCURVE,20250123_182120922_iOS
1.443, -, -,,N2O_20250123_1045AM_0N20100AR-CALCURVE,20250123_182437938_iOS
1.443,--,--,,N2O_20250123_1045AM_C1-20250121-1100AM-CTRL,20250123_182805532_iOS
1.443, -, -,,N20_20250123_1045AM_COLNNO1-20250121-1100AM-SMPL,20250123_183358147_iOS
1.443,-,-,,N20_20250123_1045AM_COLNNO2-20250121-1100AM-SMPL,20250123_183649881_iOS
1.443,-,-,,N20_20250123_1045AM_COLNNO3-20250121-1100AM-SMPL,20250123_183952660_iOS
1.443,-,-,,N2O_20250123_1045AM_CONNNO1-20250121-1100AM-SMPL,20250123_184259250_iOS
1.443,-,-,,N20_20250123_1045AM_CONNNO2-20250121-1100AM-SMPL,20250123_184543141_iOS
1.443,-,-,,N20_20250123_1045AM_CONNNO3-20250121-1100AM-SMPL,20250123_184919650_iOS
1.443,,,,N2O_20250123_1045AM_COLNWO1-20250121-1100AM-SMPL,
1.443,-,-,0,N2O_20250123_1045AM_COLNWO2-20250121-1100AM-SMPL,20250123_185451973_iOS
1.424, -, -,,N2O_20250123_1045AM_COLNW03-20250121-1100AM-SMPL,20250123_185732901_iOS
1.424,624540,0.00000148889,0.929872,N20_20250123_1045AM_S1GWMIX-20250109-1100PM-SMPL,20250123_190149897_iOS
1.443,397935,0.00000148889,0.592482,N20_20250123_1045AM_S2GWMIX-20250109-1100PM-SMPL,20250123_190628716_iOS
1.443,-,-,0,N2O_20251213_1045AM_SALNNO1-20250121-1100AM-SMPL,20250123_190924479_iOS
1.422,,"""-""",0,N2O_20250123_1045AM_SALNNO2-20250121-1100AM-SMPL,20250123_191203571_iOS
1.443,1241.84717,0.00000148889,0.00184898,N2O_20250123_1045AM_SALNNO3-20250121-1100AM-SMPL,20250123_191506569_iOS
1.443,--,--,0,N2O_20250123_1045AM_SANNO1-20250121-1100AM-SMPL,20250123_191827204_iOS
1.443,-,-,-,N2O_20250123_1045AM_SANNO2-20250121-1100AM-SMPL,20250123_192108575_iOS
1.443,-,-,,N20_20250123_1045AM_SANNNO3-20250121-1100AM-SMPL,20250123_192359794_iOS
1.443,-,-,,N2_20250123_1045AM_SALNWO1-20250121-1100AM-SMPL,20250123_192649573_iOS
1.42,-,-,0,N2O_20250123_1045AM_SALNWO2-20250121-1100AM-SMPL,20250123_192935772_iOS
1.443,262.44208,0.00000148889,0.000390748,N2O_20250123_1045AM_SALNWO3-20250121-1100AM-SMPL,20250123_193221825_iOS
1.443,-,-,0,N2O_20250123_1045AM_SHLNNO1-20250121-1100AM-SMPL,20250123_193547609_iOS
1.443,-,-,,N2O_20250123_1045AM_SHLNNO2-20250121-1100AM-SMPL,20250123_193826579_iOS
1.443, , ,,N2O_20250123_1045AM_SHLNNO3-20250121-1100AM-SMPL,20250123_194111504_iOS
1.443,--,--,,N20_20250123_1045AM_SHNNNO1-20250121-1100AM-SMPL,20250123_194402088_iOS
